"","precision","recall","f1","support","trend_correlation"
"explicit",0.905405405405405,0.253787878787879,0.396449704142012,264,0.592008631159055
"not explicit",0.832909245122986,0.992922143579373,0.90590405904059,989,0.592008631159055
"overall",0.848183775302202,0.837190742218675,0.798564913235942,1253,0.592008631159055
