"year","hand_explicit","dict_explicit","hand_implicit","dict_implicit","hand_explicit_or_implicit","dict_explicit_or_implicit"
1980,0.0857110216205409,0.142832662154057,0.25716162568189,0.580984205866392,0.34287264730243,0.638105846399909
1981,0.219237824928178,0.203696652936901,0.207729050569381,0.530909279706483,0.42696687549756,0.590339552109653
1982,0.191098376313276,0.229283667621777,0.15287488061127,0.388595988538682,0.343973256924546,0.515950334288443
1983,0.102366109379428,0.220435439690186,0.1889817700954,0.456692169642014,0.291347879474828,0.574785113818834
1984,0.0782410234980231,0.260439101224726,0.214375261178437,0.506959400816484,0.29261628467646,0.56054517985149
1985,0.205881397238018,0.154930950446791,0.154930950446791,0.415012185215272,0.360812347684809,0.48
1986,0.100006664889363,0.133331111703546,0.0889096241002399,0.311150359904026,0.188916288989603,0.422254065582511
1987,0.078116213683224,0.296860356138707,0.124976569821931,0.265651358950328,0.203092783505155,0.453139643861293
1988,0.155741855623699,0.212006976875035,0.0750576717492826,0.343329769875654,0.230799527372981,0.380858605750295
1989,0.129864059517781,0.272737895843883,0.129864059517781,0.740271880964437,0.259728119035563,0.831184512912398
1990,0.350616749621294,0.249642934429777,0.18762172689894,0.567106686864315,0.538238476520234,0.653668037221381
1991,0.313712807244502,0.411795836763495,0.117664353757497,0.627425614489004,0.431377161001999,0.666647065741503
1992,0.310021392134277,0.392257692940596,0.0960177719269376,0.643368438374198,0.406039164061214,0.794224123745269
1993,0.223901098901099,0.402052808302808,0.101800976800977,0.529265873015873,0.325702075702076,0.73282967032967
1994,0.156441071052077,0.332173729706937,0.035157073582121,0.449926207041957,0.191598144634198,0.613377609108159
1995,0.406948923332987,0.476299455598322,0.0924789347758244,0.615035195395125,0.499427858108811,0.722563195672527
1996,0.197066549912434,0.372241681260946,0.0292031523642732,0.470052539404553,0.226269702276708,0.57661996497373
1997,0.417860340196956,0.238809310653536,0.0895702775290958,0.552238137869293,0.507430617726052,0.582094897045658
1998,0.0350941807850153,0.298221614227086,0.0350941807850153,0.491213301062822,0.0701883615700305,0.614016626328528
1999,0.111482558139535,0.176065891472868,0.0969476744186046,0.386143410852713,0.208430232558139,0.515358527131783
2000,0.365625312906779,0.444077300490638,0.0667868228697306,0.477470711925503,0.432412135776509,0.594322619405227
2001,0.190612276855622,0.216724083933605,0.0652599436266834,0.425618540557469,0.255872220482305,0.530065768869402
2002,0.0806841838744163,0.23074326225173,0.16885162887526,0.474652562876273,0.249535812749677,0.512181398750914
2003,0.184240989213365,0.298289923704288,0.0877400684030518,0.394764535648514,0.271981057616417,0.526361483820047
2004,0.104139433551198,0.185257806826434,0.0242193173565723,0.297857661583152,0.128358750907771,0.431045751633987
2005,0.0737682247421866,0.363625587735588,0.158086056343593,0.446639535343159,0.23185428108578,0.565213955509898
2006,0.140930681909669,0.275138877707109,0.053699380082119,0.422832300136865,0.194630061991788,0.463086707994525
2007,0.0909194183580733,0.444410784610724,0.138859436534384,0.39014692517419,0.229778854892457,0.621213268706453
2008,0.188430121964865,0.353558241020477,0.214557457759875,0.496279512140539,0.40298757972474,0.608229831039499
2009,0.212581253931642,0.440553575172992,0.195806248689453,0.492304466345146,0.408387502621095,0.720276787586496
2010,0.137376059778704,0.297121233893759,0.223643243761077,0.456866408008814,0.361019303539781,0.552713512477846
2011,0.132434964972558,0.191959305698095,0.153272946321003,0.285707911293561,0.285707911293561,0.404756592744634
2012,0.114526000616441,0.34947822641011,0.268724406675179,0.496323367531152,0.383250407291621,0.559464576636872
