"","precision","recall","f1","support","trend_correlation"
"inequality",0.48476821192053,0.837528604118993,0.614093959731544,437,0.443099430160943
"not inequality",0.857429718875502,0.52328431372549,0.649923896499239,816,0.443099430160943
"overall",0.727459185324566,0.632881085395052,0.637427741377545,1253,0.443099430160943
