"","precision","recall","f1","support","trend_correlation"
"explicit/implicit",0.665551839464883,0.756653992395437,0.708185053380783,263,0.748375925598009
"relchanges/releconomy",0.621212121212121,0.41,0.493975903614458,200,0.280399897719731
"irrelevant",0.754777070063694,0.840425531914894,0.795302013422819,282,0.73307331368211
"overall",0.680513676913566,0.669026508103444,0.674721203617037,745,0.587283045666617
