"","precision","recall","f1","support","trend_correlation"
"explicit/implicit","0.77 (0.68-0.84)","0.5 (0.39-0.61)","0.61 (0.51-0.66)","264.96 (252-281)","0.53 (0.28-0.7)"
"relchanges/releconomy/irrelevant","0.77 (0.71-0.81)","0.92 (0.85-0.95)","0.84 (0.81-0.86)","476.96 (461-489)","0.53 (0.28-0.7)"
"overall","0.77 (0.74-0.8)","0.71 (0.66-0.74)","0.74 (0.69-0.77)","741.92 (739-747)","0.53 (0.28-0.7)"
