"","precision","recall","f1","support","trend_correlation"
"explicit/implicit/relchanges/releconomy",0.829867674858223,0.948164146868251,0.88508064516129,463,0.770270374127081
"irrelevant",0.888888888888889,0.680851063829787,0.771084337349398,282,0.770270374127081
"overall",0.859378281873556,0.814507605349019,0.836341535347099,745,0.770270374127081
