"year","two_code_relevant_hand_code_ppn","two_code_relevant_machine_code_ppn","two_code_inequality_hand_code_ppn","two_code_inequality_machine_code_ppn","three_code_inequality_hand_code_ppn","three_code_inequality_machine_code_ppn","three_code_economic_hand_code_ppn","three_code_economic_machine_code_ppn"
1980,0.790449261702796,0.790449261702796,0.34287264730243,0.228572244594865,0.34287264730243,0.371433467569189,0.447576614400366,0.304743952246309
1981,0.686597902460974,0.778945000173064,0.42696687549756,0.323093696999065,0.42696687549756,0.565452909210481,0.259631026963414,0.161555501713336
1982,0.738815663801337,0.745195797516714,0.343973256924546,0.254785100286533,0.343973256924546,0.331212989493792,0.394842406876791,0.337535816618911
1983,0.614125814678379,0.732242372721262,0.291347879474828,0.228346084821007,0.291347879474828,0.299211296873524,0.322777935203552,0.33066496646831
1984,0.646243852261403,0.667684592883089,0.29261628467646,0.260439101224726,0.29261628467646,0.314024880259732,0.353627567584943,0.267896750136616
1985,0.739951259138911,0.859138911454102,0.360812347684809,0.241624695369618,0.360812347684809,0.371665312753859,0.379138911454102,0.346612510154346
1986,0.566615569181552,0.577745934417489,0.188916288989603,0.166688882964543,0.188916288989603,0.211143695014663,0.377699280191949,0.311050386563583
1987,0.562417994376757,0.53116213683224,0.203092783505155,0.0312558575445173,0.203092783505155,0.171836925960637,0.359325210871603,0.359325210871603
1988,0.587182805378946,0.643504191751533,0.230799527372981,0.155741855623699,0.230799527372981,0.155741855623699,0.356383278005964,0.281381871377933
1989,0.402601955361664,0.532466014879445,0.259728119035563,0.194796089276672,0.259728119035563,0.298679546605383,0.142873836326101,0.129903010945351
1990,0.754641852412898,0.783510062756979,0.538238476520234,0.437221380653538,0.538238476520234,0.624799826877299,0.216403375892664,0.0865613503570656
1991,0.627425614489004,0.666647065741503,0.431377161001999,0.254910031753499,0.431377161001999,0.3921557097495,0.196048453487005,0.176467129248501
1992,0.803809445450058,0.780483791344413,0.406039164061214,0.378599637979266,0.406039164061214,0.460918216225111,0.397770281388843,0.315451703142998
1993,0.70734126984127,0.783692002442002,0.325702075702076,0.347336691086691,0.325702075702076,0.592872405372405,0.381639194139194,0.127213064713065
1994,0.560615644107105,0.595772717689226,0.191598144634198,0.191598144634198,0.191598144634198,0.191598144634198,0.369017499472907,0.369017499472907
1995,0.638128922639481,0.638128922639481,0.499427858108811,0.449703526474566,0.499427858108811,0.557231526751968,0.13870106453067,0.104025798398003
1996,0.547373029772329,0.634982486865149,0.226269702276708,0.0759194395796848,0.226269702276708,0.226269702276708,0.321103327495622,0.321103327495622
1997,0.671575649059982,0.731289167412713,0.507430617726052,0.253715308863026,0.507430617726052,0.522381378692927,0.16414503133393,0.134288272157565
1998,0.350836577922761,0.526254866884142,0.0701883615700305,0.0350941807850153,0.0701883615700305,0.105282542355046,0.280648216352731,0.333263180048406
1999,0.51531007751938,0.579941860465116,0.208430232558139,0.224563953488372,0.208430232558139,0.337645348837209,0.30687984496124,0.145348837209302
2000,0.732852708521077,0.761239611494943,0.432412135776509,0.35561229598478,0.432412135776509,0.455792530289376,0.300440572744568,0.250375488134575
2001,0.686658315064203,0.712770122142186,0.255872220482305,0.242835891011588,0.255872220482305,0.399467585342938,0.430786094581898,0.248042593172565
2002,0.549653969504304,0.662240477128228,0.249535812749677,0.155741855623699,0.249535812749677,0.268272098126371,0.300118156754628,0.393968379001857
2003,0.438647724283083,0.473743751644304,0.271981057616417,0.210576164167324,0.271981057616417,0.289529071297027,0.166666666666667,0.166666666666667
2004,0.346259985475672,0.370479302832244,0.128358750907771,0.100508351488744,0.128358750907771,0.17676107480029,0.217901234567901,0.169498910675381
2005,0.403137223912442,0.482200007902327,0.23185428108578,0.12647674740211,0.23185428108578,0.179185270062033,0.171282942826662,0.276660476510332
2006,0.395942355687948,0.530190805893245,0.194630061991788,0.136905241123903,0.194630061991788,0.257708719104742,0.20131229369616,0.13420819579744
2007,0.507535595274159,0.709595577097849,0.229778854892457,0.154044229021509,0.229778854892457,0.318199030596789,0.277756740381703,0.22724174492578
2008,0.766784155756965,0.810646749468502,0.40298757972474,0.216403714893141,0.40298757972474,0.400190220431912,0.363796576032226,0.33582298310395
2009,0.916083036275949,0.916083036275949,0.408387502621095,0.268525896414343,0.408387502621095,0.436359823862445,0.507695533654854,0.339861606206752
2010,0.840254825884945,0.904152895530967,0.361019303539781,0.233223164247737,0.361019303539781,0.424917373185803,0.479235522345164,0.287541313407099
2011,0.791664807460622,0.732140466735085,0.285707911293561,0.166659229842488,0.285707911293561,0.285707911293561,0.505956896167061,0.297621703627683
2012,0.706309717757915,0.58883360486108,0.383250407291621,0.168860904407556,0.383250407291621,0.290740169961693,0.323059310466294,0.268724406675179
