"","precision","recall","f1","support","trend_correlation"
"explicit/implicit","0.66 (0.61-0.74)","0.73 (0.63-0.85)","0.69 (0.66-0.71)","264.96 (252-281)","0.59 (0.34-0.75)"
"relchanges/releconomy","0.61 (0.52-0.72)","0.44 (0.32-0.56)","0.51 (0.43-0.57)","198.08 (188-212)","0.34 (0.1-0.61)"
"irrelevant","0.76 (0.69-0.81)","0.83 (0.77-0.88)","0.79 (0.76-0.82)","278.88 (262-297)","0.71 (0.5-0.85)"
"overall","0.68 (0.65-0.71)","0.67 (0.64-0.69)","0.67 (0.65-0.7)","741.92 (739-747)","0.55 (0.4-0.7)"
