"","precision","recall","f1","support","trend_correlation"
"explicit/implicit",0.816326530612245,0.456273764258555,0.585365853658537,263,0.653553689472752
"relchanges/releconomy/irrelevant",0.760869565217391,0.943983402489627,0.842592592592593,482,0.653553689472752
"overall",0.788598047914818,0.700128583374091,0.741734610685591,745,0.653553689472752
